"Keep your eyes open for our special Back to School items and save A LOT!","请随时关注我们的新学期开学大促销，惊喜不断！"
"Home","首页"
"Login or Create an Account","登陆/创建新账户"
"New Customers","新用户"
"Registered Customers","已注册用户"
"If you have an account with us, please log in.","如果你已经注册成为会员,请登录"
"Paipai Account","Paipai 账户"
"Account Information","账户信息"
"Address Book","我的地址簿"
"Billing Agreements","账单信息"
"My Product Reviews","我的产品评论"
"Newsletter Subscriptions","订阅邮件"
"Edit Account Information","编辑账户信息"
"Default Shipping Address","默认送货地址"
"Forgot Your Password?","忘记密码?"
"Retrieve your password here","找回你的密码?"
"Please enter your email address below. You will receive a link to reset your password.","请输入邮件地址,你将会收到一个链接来从新设置你的密码."
"Back to Login","返回登录"
"Contact Us","联系我们"
"Contact Information","联系信息"
"My Dashboard","我的账户"
"You are currently not subscribed to any newsletter.","您目前没有订阅任何邮件."
"FAQ","常见问题"
"About Paipai","关于 Paipai"

